,OLS-binary.csv,OLS-non-binary.csv,RF-binary.csv,RF-non-binary.csv,SVM-binary.csv,SVM-non-binary.csv
1991M01,,,,,,
1991M02,,,,,,
1991M03,,,,,,
1991M04,,,,,,
1991M05,,,,,,
1991M06,,,,,,
1991M07,,,,,,
1991M08,,,,,,
1991M09,,,,,,
1991M10,,,,,,
1991M11,,,,,,
1991M12,,,,,,
1992M01,,,,,,
1992M02,,,,,,
1992M03,,,,,,
1992M04,,,,,,
1992M05,,,,,,
1992M06,,,,,,
1992M07,,,,,,
1992M08,,,,,,
1992M09,,,,,,
1992M10,,,,,,
1992M11,,,,,,
1992M12,,,,,,
1993M01,,,,,,
1993M02,,,,,,
1993M03,,,,,,
1993M04,,,,,,
1993M05,,,,,,
1993M06,,,,,,
1993M07,,,,,,
1993M08,,,,,,
1993M09,,,,,,
1993M10,,,,,,
1993M11,,,,,,
1993M12,44.44444444444444,50.0,33.33333333333333,41.66666666666667,36.11111111111111,50.0
1994M01,41.66666666666667,47.22222222222222,36.11111111111111,41.66666666666667,36.11111111111111,50.0
1994M02,38.88888888888889,44.44444444444444,36.11111111111111,44.44444444444444,36.11111111111111,50.0
1994M03,38.88888888888889,44.44444444444444,38.88888888888889,44.44444444444444,38.88888888888889,52.77777777777778
1994M04,38.88888888888889,41.66666666666667,41.66666666666667,41.66666666666667,36.11111111111111,50.0
1994M05,38.88888888888889,44.44444444444444,41.66666666666667,41.66666666666667,36.11111111111111,50.0
1994M06,36.11111111111111,44.44444444444444,41.66666666666667,38.88888888888889,33.33333333333333,47.22222222222222
1994M07,36.11111111111111,44.44444444444444,44.44444444444444,41.66666666666667,33.33333333333333,50.0
1994M08,38.88888888888889,47.22222222222222,44.44444444444444,38.88888888888889,33.33333333333333,50.0
1994M09,36.11111111111111,44.44444444444444,44.44444444444444,41.66666666666667,36.11111111111111,50.0
1994M10,38.88888888888889,47.22222222222222,47.22222222222222,41.66666666666667,36.11111111111111,52.77777777777778
1994M11,41.66666666666667,50.0,47.22222222222222,38.88888888888889,36.11111111111111,50.0
1994M12,38.88888888888889,47.22222222222222,47.22222222222222,38.88888888888889,36.11111111111111,50.0
1995M01,41.66666666666667,50.0,47.22222222222222,38.88888888888889,36.11111111111111,47.22222222222222
1995M02,38.88888888888889,47.22222222222222,44.44444444444444,38.88888888888889,33.33333333333333,44.44444444444444
1995M03,38.88888888888889,47.22222222222222,47.22222222222222,38.88888888888889,30.555555555555557,44.44444444444444
1995M04,41.66666666666667,50.0,44.44444444444444,38.88888888888889,30.555555555555557,44.44444444444444
1995M05,41.66666666666667,50.0,44.44444444444444,38.88888888888889,30.555555555555557,47.22222222222222
1995M06,44.44444444444444,52.77777777777778,44.44444444444444,38.88888888888889,33.33333333333333,44.44444444444444
1995M07,44.44444444444444,52.77777777777778,41.66666666666667,38.88888888888889,30.555555555555557,41.66666666666667
1995M08,44.44444444444444,52.77777777777778,44.44444444444444,41.66666666666667,33.33333333333333,44.44444444444444
1995M09,44.44444444444444,52.77777777777778,44.44444444444444,41.66666666666667,36.11111111111111,41.66666666666667
1995M10,47.22222222222222,55.55555555555556,47.22222222222222,44.44444444444444,38.88888888888889,44.44444444444444
1995M11,47.22222222222222,55.55555555555556,50.0,44.44444444444444,38.88888888888889,44.44444444444444
1995M12,50.0,58.333333333333336,52.77777777777778,47.22222222222222,41.66666666666667,47.22222222222222
1996M01,52.77777777777778,61.111111111111114,55.55555555555556,47.22222222222222,44.44444444444444,50.0
1996M02,52.77777777777778,58.333333333333336,55.55555555555556,47.22222222222222,44.44444444444444,50.0
1996M03,55.55555555555556,61.111111111111114,55.55555555555556,44.44444444444444,47.22222222222222,50.0
1996M04,58.333333333333336,63.888888888888886,55.55555555555556,41.66666666666667,47.22222222222222,50.0
1996M05,55.55555555555556,61.111111111111114,55.55555555555556,41.66666666666667,44.44444444444444,50.0
1996M06,55.55555555555556,61.111111111111114,52.77777777777778,41.66666666666667,44.44444444444444,50.0
1996M07,55.55555555555556,61.111111111111114,55.55555555555556,41.66666666666667,44.44444444444444,52.77777777777778
1996M08,52.77777777777778,58.333333333333336,58.333333333333336,44.44444444444444,41.66666666666667,50.0
1996M09,52.77777777777778,58.333333333333336,58.333333333333336,44.44444444444444,44.44444444444444,47.22222222222222
1996M10,52.77777777777778,58.333333333333336,61.111111111111114,47.22222222222222,47.22222222222222,50.0
1996M11,50.0,55.55555555555556,61.111111111111114,44.44444444444444,44.44444444444444,52.77777777777778
1996M12,47.22222222222222,52.77777777777778,61.111111111111114,44.44444444444444,44.44444444444444,52.77777777777778
1997M01,50.0,55.55555555555556,58.333333333333336,44.44444444444444,47.22222222222222,55.55555555555556
1997M02,52.77777777777778,58.333333333333336,55.55555555555556,41.66666666666667,50.0,52.77777777777778
1997M03,52.77777777777778,58.333333333333336,52.77777777777778,41.66666666666667,47.22222222222222,50.0
1997M04,52.77777777777778,58.333333333333336,50.0,41.66666666666667,50.0,52.77777777777778
1997M05,55.55555555555556,58.333333333333336,52.77777777777778,44.44444444444444,52.77777777777778,52.77777777777778
1997M06,58.333333333333336,58.333333333333336,55.55555555555556,47.22222222222222,55.55555555555556,52.77777777777778
1997M07,58.333333333333336,58.333333333333336,52.77777777777778,44.44444444444444,52.77777777777778,50.0
1997M08,55.55555555555556,55.55555555555556,55.55555555555556,47.22222222222222,55.55555555555556,52.77777777777778
1997M09,55.55555555555556,55.55555555555556,58.333333333333336,47.22222222222222,55.55555555555556,52.77777777777778
1997M10,55.55555555555556,52.77777777777778,55.55555555555556,50.0,58.333333333333336,52.77777777777778
