,OLS-binary.csv,OLS-non-binary.csv,RF-binary.csv,RF-non-binary.csv,SVM-binary.csv,SVM-non-binary.csv
1991M01,,,,,,
1991M02,,,,,,
1991M03,,,,,,
1991M04,,,,,,
1991M05,,,,,,
1991M06,,,,,,
1991M07,,,,,,
1991M08,,,,,,
1991M09,,,,,,
1991M10,,,,,,
1991M11,,,,,,
1991M12,,,,,,
1992M01,,,,,,
1992M02,,,,,,
1992M03,,,,,,
1992M04,,,,,,
1992M05,,,,,,
1992M06,,,,,,
1992M07,,,,,,
1992M08,,,,,,
1992M09,,,,,,
1992M10,,,,,,
1992M11,,,,,,
1992M12,45.83333333333333,58.333333333333336,45.83333333333333,58.333333333333336,62.5,50.0
1993M01,50.0,62.5,45.83333333333333,58.333333333333336,62.5,54.166666666666664
1993M02,50.0,58.333333333333336,50.0,62.5,66.66666666666666,54.166666666666664
1993M03,50.0,62.5,45.83333333333333,58.333333333333336,66.66666666666666,50.0
1993M04,50.0,62.5,45.83333333333333,58.333333333333336,62.5,54.166666666666664
1993M05,45.83333333333333,58.333333333333336,41.66666666666667,54.166666666666664,62.5,50.0
1993M06,45.83333333333333,58.333333333333336,41.66666666666667,54.166666666666664,62.5,54.166666666666664
1993M07,45.83333333333333,58.333333333333336,41.66666666666667,50.0,62.5,58.333333333333336
1993M08,45.83333333333333,58.333333333333336,45.83333333333333,54.166666666666664,58.333333333333336,58.333333333333336
1993M09,45.83333333333333,54.166666666666664,45.83333333333333,54.166666666666664,58.333333333333336,62.5
1993M10,45.83333333333333,54.166666666666664,41.66666666666667,50.0,54.166666666666664,58.333333333333336
1993M11,45.83333333333333,54.166666666666664,45.83333333333333,54.166666666666664,50.0,58.333333333333336
1993M12,50.0,58.333333333333336,41.66666666666667,50.0,50.0,58.333333333333336
1994M01,50.0,58.333333333333336,45.83333333333333,45.83333333333333,50.0,54.166666666666664
1994M02,50.0,58.333333333333336,50.0,45.83333333333333,50.0,50.0
1994M03,54.166666666666664,62.5,54.166666666666664,50.0,54.166666666666664,50.0
1994M04,58.333333333333336,62.5,58.333333333333336,54.166666666666664,58.333333333333336,54.166666666666664
1994M05,58.333333333333336,62.5,58.333333333333336,54.166666666666664,58.333333333333336,54.166666666666664
1994M06,58.333333333333336,62.5,58.333333333333336,54.166666666666664,58.333333333333336,54.166666666666664
1994M07,58.333333333333336,62.5,58.333333333333336,54.166666666666664,58.333333333333336,54.166666666666664
1994M08,62.5,66.66666666666666,54.166666666666664,58.333333333333336,62.5,54.166666666666664
1994M09,58.333333333333336,62.5,50.0,58.333333333333336,58.333333333333336,54.166666666666664
1994M10,58.333333333333336,62.5,50.0,58.333333333333336,58.333333333333336,54.166666666666664
1994M11,62.5,66.66666666666666,54.166666666666664,58.333333333333336,58.333333333333336,54.166666666666664
1994M12,66.66666666666666,70.83333333333334,54.166666666666664,58.333333333333336,58.333333333333336,54.166666666666664
1995M01,62.5,66.66666666666666,54.166666666666664,58.333333333333336,54.166666666666664,50.0
1995M02,62.5,66.66666666666666,50.0,54.166666666666664,50.0,45.83333333333333
1995M03,62.5,62.5,54.166666666666664,54.166666666666664,50.0,50.0
1995M04,58.333333333333336,58.333333333333336,54.166666666666664,50.0,54.166666666666664,50.0
1995M05,62.5,62.5,58.333333333333336,54.166666666666664,50.0,54.166666666666664
1995M06,62.5,62.5,62.5,58.333333333333336,50.0,54.166666666666664
1995M07,62.5,62.5,62.5,58.333333333333336,50.0,50.0
1995M08,62.5,62.5,62.5,58.333333333333336,50.0,54.166666666666664
1995M09,62.5,62.5,58.333333333333336,54.166666666666664,54.166666666666664,50.0
1995M10,62.5,62.5,62.5,58.333333333333336,58.333333333333336,50.0
1995M11,58.333333333333336,58.333333333333336,58.333333333333336,54.166666666666664,58.333333333333336,50.0
1995M12,58.333333333333336,54.166666666666664,62.5,54.166666666666664,54.166666666666664,54.166666666666664
1996M01,54.166666666666664,50.0,62.5,58.333333333333336,54.166666666666664,58.333333333333336
1996M02,54.166666666666664,50.0,62.5,58.333333333333336,54.166666666666664,62.5
1996M03,54.166666666666664,50.0,62.5,58.333333333333336,54.166666666666664,62.5
1996M04,54.166666666666664,50.0,62.5,54.166666666666664,54.166666666666664,58.333333333333336
1996M05,50.0,45.83333333333333,58.333333333333336,50.0,50.0,58.333333333333336
1996M06,45.83333333333333,41.66666666666667,58.333333333333336,50.0,45.83333333333333,58.333333333333336
1996M07,50.0,45.83333333333333,62.5,54.166666666666664,45.83333333333333,58.333333333333336
1996M08,50.0,45.83333333333333,66.66666666666666,50.0,41.66666666666667,58.333333333333336
1996M09,54.166666666666664,50.0,70.83333333333334,54.166666666666664,45.83333333333333,62.5
1996M10,50.0,45.83333333333333,66.66666666666666,50.0,41.66666666666667,58.333333333333336
1996M11,50.0,45.83333333333333,62.5,45.83333333333333,37.5,58.333333333333336
1996M12,45.83333333333333,41.66666666666667,62.5,41.66666666666667,33.33333333333333,54.166666666666664
1997M01,50.0,45.83333333333333,66.66666666666666,45.83333333333333,37.5,54.166666666666664
1997M02,54.166666666666664,50.0,66.66666666666666,50.0,41.66666666666667,54.166666666666664
1997M03,54.166666666666664,50.0,66.66666666666666,50.0,41.66666666666667,54.166666666666664
1997M04,58.333333333333336,54.166666666666664,70.83333333333334,54.166666666666664,41.66666666666667,54.166666666666664
1997M05,54.166666666666664,50.0,66.66666666666666,50.0,45.83333333333333,54.166666666666664
1997M06,50.0,45.83333333333333,66.66666666666666,50.0,50.0,54.166666666666664
1997M07,54.166666666666664,50.0,70.83333333333334,54.166666666666664,54.166666666666664,58.333333333333336
